,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,11,14,31,8572.13,8186.84,-4238.18999999999,-0.044946821851745034,14,31,17
1,11,63,102,8171.01,7993.56,-1951.949999999998,-0.02171702151875954,63,102,39
2,11,123,191,8041.84,8258.8,2386.5599999999904,0.02697890035116335,123,191,68
3,11,255,264,8107.96,7959.39,-1634.2699999999968,-0.018323968051149664,255,264,9
4,11,344,378,8549.48,8523.82,-282.2599999999984,-0.0030013521290183087,344,378,34
5,11,382,401,8439.83,8272.0,-1846.1299999999992,-0.019885471626798212,382,401,19
6,11,416,446,8368.94,8244.59,-1367.850000000004,-0.014858512547586744,416,446,30
7,11,530,551,8063.03,7916.63,-1610.399999999996,-0.01815694596200179,530,551,21
8,11,568,662,7945.57,8090.69,1596.3199999999988,0.018264265496370946,568,662,94
9,12,724,809,7574.65,9278.4,20445.0,0.22492788445670753,724,809,85
10,11,814,829,9399.28,9430.1,339.0199999999968,0.003278974559753456,814,829,15
11,12,870,910,9298.46,9218.5,-959.5199999999895,-0.008599273428072984,870,910,40
12,11,918,940,9340.0,9160.31,-1976.5900000000056,-0.019238758029978653,918,940,22
13,11,952,984,9197.86,9233.05,387.0899999999856,0.003825889935267446,952,984,32
14,11,1006,1033,9337.5,9261.0,-841.5,-0.008192771084337358,1006,1033,27
15,12,1080,1126,8821.6,8904.2,991.2000000000044,0.009363380792600129,1080,1126,46
16,12,1178,1198,8775.35,8703.02,-867.9599999999991,-0.008242406285789206,1178,1198,20
17,12,1207,1232,8664.89,8476.51,-2260.5599999999904,-0.021740610671341365,1207,1232,25
18,13,1333,1368,8113.73,8086.37,-355.67999999999574,-0.0033720619246634387,1333,1368,35
19,14,1424,1457,7284.54,6875.82,-5722.080000000004,-0.056107866797354466,1424,1457,33
20,13,1545,1552,7597.46,7417.0,-2345.9800000000005,-0.023752675236197396,1545,1552,7
21,12,1567,1589,7745.63,7680.0,-787.5600000000013,-0.008473164868448402,1567,1589,22
22,13,1612,1631,7314.28,7250.0,-835.6399999999967,-0.008788288115850085,1612,1631,19
23,13,1664,1674,7329.19,7153.44,-2284.75,-0.02397945748438779,1664,1674,10
24,12,1687,1694,7462.63,7177.34,-3423.4799999999996,-0.03822914977695535,1687,1694,7
25,12,1703,1795,7304.09,7492.0,2254.9199999999983,0.025726681900140935,1703,1795,92
26,12,1854,1857,7236.93,7187.72,-590.5200000000004,-0.006799844685522749,1854,1857,3
27,12,1886,1922,7201.47,7188.85,-151.4399999999987,-0.0017524199920293526,1886,1922,36
28,12,1945,1962,7146.55,7091.16,-664.6800000000039,-0.0077505929434482645,1945,1962,17
29,13,1997,1999,6874.02,6749.24,-1622.1400000000085,-0.018152405724743415,1997,1999,2
30,12,2030,2041,7122.15,7074.36,-573.4799999999996,-0.0067100524420294905,2030,2041,11
31,12,2070,2147,7174.67,7390.0,2583.959999999999,0.0300125301930263,2070,2147,77
32,12,2218,2237,7362.94,7222.03,-1690.9199999999983,-0.019137735741429407,2218,2237,19
33,12,2250,2307,7307.94,7308.19,3.0,3.4209366798210183e-05,2250,2307,57
34,12,2398,2408,7214.42,7315.36,1211.2799999999952,0.013991422733913517,2398,2408,10
35,12,2435,2463,7303.97,7353.01,588.4799999999996,0.006714156821564066,2435,2463,28
36,12,2468,2530,7538.66,8081.02,6508.320000000007,0.07194382025452817,2468,2530,62
37,12,2585,2607,8177.02,8083.12,-1126.8000000000065,-0.011483401043411945,2585,2607,22
38,12,2650,2686,8098.35,8618.02,6236.040000000001,0.06416986176196393,2650,2686,36
39,11,2779,2784,9163.83,9091.84,-791.8899999999976,-0.007855885584957312,2779,2784,5
40,11,2799,2845,8648.1,8723.84,833.1399999999976,0.008757993085186211,2799,2845,46
41,11,2866,2875,8695.69,8613.18,-907.6100000000024,-0.009488608724552039,2866,2875,9
42,11,2963,2978,8577.56,8641.78,706.4200000000128,0.0074869776486554684,2963,2978,15
43,11,2981,3071,8747.05,9387.0,7039.450000000008,0.0731618088384085,2981,3071,90
44,11,3196,3232,9422.99,9777.97,3904.779999999995,0.03767169444093632,3196,3232,36
45,11,3272,3311,9837.97,9978.15,1541.9800000000032,0.014248874513746346,3272,3311,39
46,11,3338,3427,9791.0,10257.1,5127.100000000004,0.04760494331528964,3338,3427,89
47,12,3452,3466,10010.91,9767.99,-2915.040000000001,-0.024265526310794927,3452,3466,14
48,11,3472,3543,9921.87,9692.0,-2528.570000000009,-0.023168011675218536,3472,3543,71
49,11,3571,3644,9646.7,9759.24,1237.9399999999896,0.011666165631770253,3571,3644,73
50,12,3677,3680,9625.59,9404.93,-2647.9199999999983,-0.02292430905534104,3677,3680,3
51,12,3702,3714,9100.27,8698.59,-4820.1600000000035,-0.04413934971160194,3702,3714,12
52,12,3797,3896,8583.56,9093.74,6122.1600000000035,0.05943687700674305,3797,3896,99
53,12,3916,3947,9138.64,8887.93,-3008.5199999999895,-0.02743406021027195,3916,3947,31
54,13,4012,4017,8068.62,7845.05,-2906.409999999996,-0.027708579657983567,4012,4017,5
55,20,4132,4142,5425.54,5903.67,9562.600000000002,0.08812579024392053,4132,4142,10
56,22,4143,4199,5363.47,5251.55,-2462.2400000000016,-0.02086708791137082,4143,4199,56
57,22,4207,4415,5298.0,6671.98,30227.55999999999,0.25933937334843327,4207,4415,208
58,22,4502,4530,6524.78,6287.05,-5230.05999999999,-0.03643494493300914,4502,4530,28
59,22,4550,4629,6347.77,6771.9,9330.859999999982,0.0668155903569283,4550,4629,79
60,22,4650,4694,6837.59,7167.4,7255.819999999989,0.048234831278271884,4650,4694,44
61,21,4700,4733,7349.52,7296.92,-1104.6000000000076,-0.007156929976379511,4700,4733,33
62,22,4775,4777,6917.8,6875.16,-938.0800000000072,-0.006163809303535883,4775,4777,2
63,22,4791,4817,6858.2,6712.62,-3202.7599999999984,-0.021227144148610377,4791,4817,26
64,22,4838,4889,6824.02,6567.12,-5651.800000000012,-0.03764643128244061,4838,4889,51
65,20,4897,4967,7039.6,7150.68,2221.5999999999985,0.01577930564236607,4897,4967,70
66,21,5027,5135,6873.64,7546.0,14119.559999999994,0.09781716819618125,5027,5135,108
67,21,5140,5145,7656.44,7563.41,-1953.6299999999947,-0.012150555610701552,5140,5145,5
68,17,5229,5235,9170.01,8902.82,-4542.230000000009,-0.02913737280548223,5229,5235,6
69,17,5271,5304,8842.32,8995.65,2606.6099999999988,0.01734047173140074,5271,5304,33
70,17,5350,5356,9014.99,8849.15,-2819.2800000000025,-0.018396027061594045,5350,5356,6
71,16,5380,5448,9321.83,9608.49,4586.559999999998,0.030751472618573805,5380,5448,68
72,18,5473,5482,8809.34,8528.0,-5064.120000000003,-0.03193655824386388,5473,5482,9
73,17,5538,5588,8942.72,9471.47,8988.75,0.059126306090317104,5538,5588,50
74,17,5593,5656,9612.39,9677.31,1103.6400000000012,0.006753783398301572,5593,5656,63
75,17,5690,5721,9789.02,9493.91,-5016.87000000001,-0.03014704229841192,5690,5721,31
76,17,5808,5813,9251.22,9156.53,-1609.7299999999777,-0.010235406789590895,5808,5813,5
77,18,5833,5895,8816.6,9098.23,5069.339999999986,0.0319431526892453,5833,5895,62
78,17,5910,5930,9405.16,9441.17,612.1700000000037,0.003828749324838787,5910,5930,20
79,17,5950,5966,9554.55,9487.74,-1135.7699999999913,-0.006992480022606995,5950,5966,16
80,16,5968,5984,9694.38,9478.65,-3451.679999999993,-0.02225309921830998,5968,5984,16
81,16,6014,6032,9648.68,9466.78,-2910.399999999994,-0.018852319695543795,6014,6032,18
82,16,6052,6075,9614.16,9542.44,-1147.5199999999895,-0.007459830083959451,6052,6075,23
83,15,6098,6111,9825.26,9676.99,-2224.0500000000065,-0.015090694800951931,6098,6111,13
84,16,6123,6247,9669.64,9623.31,-741.2799999999988,-0.004791284887544878,6123,6247,124
85,16,6265,6312,9468.98,9412.64,-901.4400000000023,-0.005949954482953879,6265,6312,47
86,16,6357,6391,9541.3,9406.91,-2150.2399999999907,-0.01408508274553777,6357,6391,34
87,16,6435,6553,9387.06,9525.31,2212.0,0.014727720926466903,6435,6553,118
88,16,6614,6637,9176.01,8949.88,-3618.0800000000163,-0.02464360871446314,6614,6637,23
