,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,90,18,56,110.56,170.93,5433.3,0.5460383502170767,2004-09-15,2004-11-08,54 days
1,85,73,77,179.9,170.35,-811.7500000000009,-0.053085047248471406,2004-12-02,2004-12-08,6 days
2,78,86,98,186.31,190.64,337.73999999999876,0.02324083516719444,2004-12-21,2005-01-07,17 days
3,72,117,121,206.47,191.97,-1044.0,-0.07022812030803505,2005-02-04,2005-02-10,6 days
4,72,161,166,193.09,184.58,-612.7199999999993,-0.044072712206742914,2005-04-11,2005-04-18,7 days
5,61,171,205,217.82,279.82,3782.0,0.28463869249839324,2005-04-25,2005-06-13,49 days
6,55,216,222,306.28,289.39,-928.9499999999992,-0.055145618388402706,2005-06-28,2005-07-07,9 days
7,52,233,235,306.37,295.01,-590.7200000000007,-0.037079348500179576,2005-07-22,2005-07-26,4 days
8,50,270,277,308.73,313.0,213.4999999999991,0.013830855440028378,2005-09-14,2005-09-23,9 days
9,45,299,328,345.78,408.7,2831.4000000000005,0.1819654115333449,2005-10-25,2005-12-06,42 days
10,40,351,357,464.42,451.17,-530.0,-0.028530209723956812,2006-01-10,2006-01-19,9 days
11,47,383,385,381.27,368.56,-597.369999999999,-0.033335956146562706,2006-02-27,2006-03-01,2 days
12,47,404,417,371.71,403.45,1491.7800000000004,0.08538914745366011,2006-03-28,2006-04-17,20 days
13,43,423,428,439.63,401.08,-1657.6500000000005,-0.08768737347314792,2006-04-25,2006-05-02,7 days
14,42,523,529,407.48,405.58,-79.80000000000143,-0.00466280553646814,2006-09-15,2006-09-25,10 days
15,40,541,547,425.02,420.23,-191.59999999999854,-0.011270057879629092,2006-10-11,2006-10-19,8 days
16,35,550,557,476.28,467.5,-307.29999999999905,-0.018434534307550154,2006-10-24,2006-11-02,9 days
17,33,572,574,504.5,481.13,-771.2100000000002,-0.04632309217046582,2006-11-24,2006-11-28,4 days
18,32,600,610,487.69,480.79,-220.79999999999927,-0.014148331932170022,2007-01-08,2007-01-23,15 days
19,31,700,709,501.0,505.38,135.77999999999986,0.008742514970059956,2007-06-01,2007-06-14,13 days
20,28,778,813,556.34,675.78,3344.3199999999983,0.2146888593306251,2007-09-21,2007-11-09,49 days
21,27,826,838,690.75,688.0,-74.25,-0.003981179876945351,2007-11-29,2007-12-17,18 days
22,36,879,882,528.31,512.85,-556.5599999999972,-0.029263122030625865,2008-02-15,2008-02-21,6 days
23,39,915,918,469.13,457.16,-466.82999999999885,-0.02551531558416642,2008-04-09,2008-04-14,5 days
24,33,924,938,537.57,574.75,1226.9399999999982,0.06916308573767127,2008-04-22,2008-05-12,20 days
25,38,1003,1008,501.6,494.72,-261.4399999999998,-0.01371610845295057,2008-08-13,2008-08-20,7 days
26,51,1051,1053,372.39,353.65,-955.7400000000005,-0.050323585488332157,2008-10-21,2008-10-23,2 days
27,65,1082,1095,276.53,300.43,1553.5000000000023,0.08642823563447011,2008-12-04,2008-12-23,19 days
28,59,1103,1109,332.98,310.0,-1355.820000000001,-0.06901315394317986,2009-01-06,2009-01-14,8 days
29,54,1118,1132,337.98,347.24,500.0399999999995,0.02739807089176871,2009-01-28,2009-02-18,21 days
30,56,1153,1180,331.68,383.75,2915.9199999999996,0.15698866377231058,2009-03-19,2009-04-28,40 days
31,51,1205,1213,426.0,421.5,-229.5,-0.010563380281690127,2009-06-03,2009-06-15,12 days
32,49,1236,1258,433.0,445.1,592.9000000000011,0.027944572748267893,2009-07-17,2009-08-18,32 days
33,44,1280,1289,496.77,493.0,-165.8799999999992,-0.007589025102159863,2009-09-18,2009-10-01,13 days
34,41,1298,1308,532.46,547.87,631.8099999999987,0.028941141118581593,2009-10-14,2009-10-28,14 days
35,39,1319,1326,569.56,576.49,270.2700000000025,0.012167287028583607,2009-11-12,2009-11-23,11 days
36,40,1397,1406,559.85,556.11,-149.60000000000036,-0.006680360810931485,2010-03-09,2010-03-22,13 days
37,46,1485,1492,489.88,480.77,-419.0600000000006,-0.018596390952886455,2010-07-14,2010-07-23,9 days
38,46,1527,1560,480.9,620.05,6400.899999999999,0.2893532959035141,2010-09-13,2010-10-28,45 days
39,53,1732,1739,533.5,597.5,3392.0,0.11996251171508909,2011-07-06,2011-07-15,9 days
40,53,1741,1751,596.14,606.0,522.5800000000007,0.016539738987486174,2011-07-19,2011-08-02,14 days
41,59,1772,1778,544.74,531.4,-787.0600000000019,-0.024488746925138694,2011-08-31,2011-09-09,9 days
42,57,1802,1811,550.03,589.55,2252.639999999999,0.07185062632947292,2011-10-13,2011-10-26,13 days
43,54,1838,1846,627.64,622.52,-276.48000000000025,-0.008157542540309759,2011-12-05,2011-12-15,10 days
44,51,1859,1862,662.13,629.75,-1651.3799999999997,-0.048902783441318154,2012-01-05,2012-01-10,5 days
45,52,1884,1888,607.88,602.82,-263.11999999999716,-0.008324011318023183,2012-02-10,2012-02-16,6 days
46,49,1912,1922,638.5,632.24,-306.73999999999955,-0.009804228660924008,2012-03-22,2012-04-05,14 days
47,51,1997,2022,615.0,665.0,2550.0,0.08130081300813008,2012-07-24,2012-08-28,35 days
48,46,2040,2052,731.0,741.86,499.5600000000006,0.01485636114911082,2012-09-24,2012-10-10,16 days
49,47,2100,2105,723.26,701.69,-1013.789999999997,-0.029823300058070323,2012-12-20,2012-12-28,8 days
50,44,2127,2147,750.51,797.8,2080.7599999999984,0.06301048620271543,2013-01-31,2013-03-01,29 days
